Game State:    0  |  Segway State: 1140  |  Quad State: 1103
Game State:    1  |  Segway State: 1140  |  Quad State: 1021
Game State:    6  |  Segway State: 1140  |  Quad State:  939
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
Game State:   41  |  Segway State: 1140  |  Quad State:  816
Game State:   84  |  Segway State: 1140  |  Quad State:  816
Game State:   19  |  Segway State: 1140  |  Quad State:  857
