Game State:    0  |  Segway State: 1140  |  Quad State:  797
Game State:    2  |  Segway State: 1140  |  Quad State:  756
Game State:    8  |  Segway State: 1140  |  Quad State:  716
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1140  |  Quad State:  592
Game State:   20  |  Segway State: 1140  |  Quad State:  634
Game State:   39  |  Segway State: 1140  |  Quad State:  592
Game State:   66  |  Segway State: 1181  |  Quad State:  592
Game State:   20  |  Segway State: 1181  |  Quad State:  634
Game State:   39  |  Segway State: 1222  |  Quad State:  592
Game State:   66  |  Segway State: 1263  |  Quad State:  592
Game State:   20  |  Segway State: 1263  |  Quad State:  634
Game State:   39  |  Segway State: 1263  |  Quad State:  592
Game State:   66  |  Segway State: 1304  |  Quad State:  592
Game State:   20  |  Segway State: 1304  |  Quad State:  634
Game State:   39  |  Segway State: 1304  |  Quad State:  592
Game State:   66  |  Segway State: 1345  |  Quad State:  592
Game State:   20  |  Segway State: 1345  |  Quad State:  634
Game State:   39  |  Segway State: 1386  |  Quad State:  592
Game State:   66  |  Segway State: 1386  |  Quad State:  592
Game State:   20  |  Segway State: 1386  |  Quad State:  634
Game State:   39  |  Segway State: 1427  |  Quad State:  592
Game State:   66  |  Segway State: 1427  |  Quad State:  592
Game State:   20  |  Segway State: 1427  |  Quad State:  634
Game State:   39  |  Segway State: 1427  |  Quad State:  592
Game State:   66  |  Segway State: 1426  |  Quad State:  592
Game State:   20  |  Segway State: 1426  |  Quad State:  634
Game State:   39  |  Segway State: 1425  |  Quad State:  592
Game State:   66  |  Segway State: 1425  |  Quad State:  592
Game State:   20  |  Segway State: 1425  |  Quad State:  634
Game State:   39  |  Segway State: 1424  |  Quad State:  592
Game State:   66  |  Segway State: 1424  |  Quad State:  592
Game State:   20  |  Segway State: 1424  |  Quad State:  634
Game State:   39  |  Segway State: 1423  |  Quad State:  592
Game State:   66  |  Segway State: 1423  |  Quad State:  592
Game State:   20  |  Segway State: 1423  |  Quad State:  634
Game State:   39  |  Segway State: 1422  |  Quad State:  592
Game State:   66  |  Segway State: 1422  |  Quad State:  592
Game State:   20  |  Segway State: 1422  |  Quad State:  634
Game State:   39  |  Segway State: 1421  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
Game State:   66  |  Segway State: 1420  |  Quad State:  592
Game State:   20  |  Segway State: 1420  |  Quad State:  634
Game State:   39  |  Segway State: 1420  |  Quad State:  592
